property,version,outcome,footnote
assets-dec-onlyif-deposit,v1,N,
assets-dec-onlyif-deposit,v2,N,
assets-dec-onlyif-deposit,v3,N,
assets-dec-onlyif-deposit,v4,N,
assets-dec-onlyif-deposit,v5,N,
assets-dec-onlyif-deposit,v6,N,
assets-dec-onlyif-deposit,v7,N,
assets-inc-onlyif-withdraw,v1,N,
assets-inc-onlyif-withdraw,v2,N,
assets-inc-onlyif-withdraw,v3,N,
assets-inc-onlyif-withdraw,v4,N,
assets-inc-onlyif-withdraw,v5,N,
assets-inc-onlyif-withdraw,v6,N,
assets-inc-onlyif-withdraw,v7,N,
credit-dec-onlyif-withdraw,v1,P!,
credit-dec-onlyif-withdraw,v2,P!,
credit-dec-onlyif-withdraw,v3,P!,
credit-dec-onlyif-withdraw,v4,P!,
credit-dec-onlyif-withdraw,v5,P!,
credit-dec-onlyif-withdraw,v6,P!,
credit-dec-onlyif-withdraw,v7,P!,
credit-inc-onlyif-deposit,v1,P!,
credit-inc-onlyif-deposit,v2,P!,
credit-inc-onlyif-deposit,v3,P!,
credit-inc-onlyif-deposit,v4,P!,
credit-inc-onlyif-deposit,v5,P!,
credit-inc-onlyif-deposit,v6,P!,
credit-inc-onlyif-deposit,v7,P!,
deposit-additivity,v1,P!,
deposit-additivity,v2,P!,
deposit-additivity,v3,P!,
deposit-additivity,v4,N,
deposit-additivity,v5,N,
deposit-additivity,v6,P!,
deposit-additivity,v7,N,
deposit-contract-balance,v1,P!,
deposit-contract-balance,v2,P!,
deposit-contract-balance,v3,P!,
deposit-contract-balance,v4,P!,
deposit-contract-balance,v5,P!,
deposit-contract-balance,v6,P!,
deposit-contract-balance,v7,P!,
deposit-not-revert,v1,N,
deposit-not-revert,v2,N,
deposit-not-revert,v3,N,
deposit-not-revert,v4,N,
deposit-not-revert,v5,N,
deposit-not-revert,v6,N,
deposit-not-revert,v7,N,
deposit-revert,v1,N,
deposit-revert,v2,N,
deposit-revert,v3,N,
deposit-revert,v4,N,
deposit-revert,v5,N,
deposit-revert,v6,N,
deposit-revert,v7,N,
deposit-assets-credit,v1,P!,
deposit-assets-credit,v2,P!,
deposit-assets-credit,v3,P!,
deposit-assets-credit,v4,N,
deposit-assets-credit,v5,N,
deposit-assets-credit,v6,P!,
deposit-assets-credit,v7,N,
deposit-assets-credit-others,v1,P!,
deposit-assets-credit-others,v2,P!,
deposit-assets-credit-others,v3,P!,
deposit-assets-credit-others,v4,P!,
deposit-assets-credit-others,v5,P!,
deposit-assets-credit-others,v6,P!,
deposit-assets-credit-others,v7,N,
deposit-assets-transfer-others,v1,P!,
deposit-assets-transfer-others,v2,P!,
deposit-assets-transfer-others,v3,P!,
deposit-assets-transfer-others,v4,P!,
deposit-assets-transfer-others,v5,P!,
deposit-assets-transfer-others,v6,P!,
deposit-assets-transfer-others,v7,P!,
withdraw-contract-balance,v1,N!,
withdraw-contract-balance,v2,N!,
withdraw-not-revert,v1,N!,
withdraw-not-revert,v2,N!,
withdraw-revert,v1,P!,
withdraw-revert,v2,N!,
withdraw-sender-rcv,v1,N!,
withdraw-sender-rcv,v2,N!,
withdraw-sender-rcv-EOA,v1,N!,
withdraw-sender-rcv-EOA,v2,N!,
withdraw-user-balance,v1,P!,
withdraw-user-balance,v2,N!,
